phone.number,call.time,duration,connection.id,call.type.id
046 046 7698,27-02-21 14:00,2694.871908,70122d79-fa20-40d7-af66-d3d22ee40668,6
066 425 0664,12-01-21 12:00,3392.158227,692419c7-7093-436a-b1ac-4fa6011ac78e,6
066 425 0664,19-02-21 10:00,97.18766364,a1d117f6-2a03-4037-97a9-fdc3afce07f3,6
066 425 0664,15-04-21 6:00,202.6959953,8e33cdfe-4cc6-4e57-8fc8-2294bb49d405,6
029 706 4631,17-01-21 7:00,797.4968979,ab3e8974-4fe5-4162-a25a-2f48b475952b,6
01 227 9959,17-02-21 10:00,793.8325283,665a1fcc-166a-4564-b3c2-e8b4f0b6e662,6
01 227 9959,01-01-21 5:00,173.5004051,afdfcdce-fd21-4b57-8e90-4714ce7d8e7f,6
01 227 9959,29-03-21 7:00,1077.314687,87221e73-c593-4c03-a90e-b3c0a97eba61,6
0402 108 5643,08-01-21 16:00,726.043915,847759d8-a97f-4af2-a574-2f5f6191a762,6
0402 108 5643,05-01-21 7:00,2292.101258,793ca5bb-c9db-4fbf-9472-b908093baa29,6
022 640 7415,11-01-21 12:00,514.6534918,b8c9e8fb-088a-4f90-874c-f9a4ef05b3fd,6
022 640 7415,06-04-21 9:00,698.626819,c54c8e5d-77c4-40ef-93f5-27f7e140c2ab,6
01 637 6101,12-02-21 18:00,572.9416364,7ec4b0ea-815b-43a8-b26d-7bc6f8b5ae70,6
01 637 6101,04-02-21 21:00,3361.773973,88c70322-23d1-46cf-9ea0-27689aa1bfaf,6
01 221 8813,22-03-21 5:00,1456.587973,39deb92b-7902-4f6f-aae3-fec43dc30a8b,6
01 817 6872,28-02-21 5:00,584.957167,8b53596e-8875-489f-9228-c5e0af6fe9d4,6
01 817 6872,06-01-21 13:00,887.1055915,88465e7b-d4a0-4d63-b43a-f3b9ca05778c,6
01 817 6872,18-02-21 22:00,725.9213165,f4fdbafd-0479-4cbc-958d-5a4f73c16fa8,6
01 979 5106,03-01-21 14:00,390.025729,336ade44-1636-405a-b60f-d17bde56ea1a,6
01 979 5106,15-02-21 8:00,308.0281186,b263660b-f3a4-4a00-937d-ca7e0815dabe,6
01 979 5106,12-04-21 22:00,1672.003179,1815543b-8187-4b7c-a1a3-9140ffe96a1d,6
01 979 5106,22-03-21 14:00,631.6469542,9c192ed5-091e-4edb-9a2e-dfc1fac84ed4,6
01 979 5106,27-04-21 20:00,392.8983267,0db33fc9-7a12-4dce-9b48-18f7b6b302f4,6
01 112 1838,08-04-21 23:00,3065.837653,d15fdc52-2ff6-4758-bc61-142cc43736ab,6
01 112 1838,27-01-21 17:00,658.7561911,ac18b4ab-d9fc-490c-be53-3d371557bf29,6
01 112 1838,24-04-21 14:00,484.3587306,7c7d25dd-e105-40eb-9302-6619ace50ce0,6
01 112 1838,14-03-21 8:00,604.6766953,fffb239e-5137-4ab2-b30c-2b9120ec45b7,6
01 112 1838,25-01-21 17:00,964.7097945,dee800af-49aa-4455-8d49-61b29db84f30,6
01 510 2164,14-03-21 9:00,2288.497027,18e30b55-e5c7-4b48-a234-185296035312,6
01 510 2164,18-03-21 10:00,438.7180988,e9fc850b-e675-4e19-83e5-5b8a6dea8757,6
01 510 2164,03-02-21 6:00,198.2951582,014e3b5a-b04b-45e5-9528-f8b3c2f10fdd,6
01 510 2164,31-01-21 20:00,1500.887805,fa1568d8-2bb0-4b62-9224-ffe92c659705,6
056 051 0195,02-01-21 23:00,2640.892736,9efea9d8-49fe-4292-9804-1f7b9bffb3d1,6
056 051 0195,08-02-21 19:00,1445.874955,72d3745f-93e4-4131-8a7a-7af8fe1f7ee0,6
056 051 0195,15-01-21 14:00,549.4091335,4af442e4-fee6-4f05-b7b5-9097e26243ce,6
01 106 2284,22-03-21 22:00,1099.840975,4a2edb09-7536-4324-85f9-7aa1763bd4f8,6
01 106 2284,29-04-21 9:00,719.349043,ebe20815-39d5-4c3e-972a-69d68589c9b6,6
01 106 2284,13-01-21 20:00,1319.922625,ee7d782b-b89a-4031-a654-9032593a1233,6
022 567 2566,02-03-21 15:00,3517.434653,56d52f27-f35b-4ff2-8248-67a4530f39a4,6
022 567 2566,11-02-21 8:00,2055.885006,13769b07-5e0f-4d42-b738-c553758fb0a8,6
022 567 2566,07-03-21 15:00,899.1716875,eedca4b7-0078-49f6-8a2b-ca9e987ed676,6
01 117 6176,23-03-21 20:00,537.18145,f369cd47-844d-4d00-a9e5-13d46014c351,6
01 117 6176,26-01-21 7:00,3451.085653,f54e96ed-062c-4576-a7e1-1c992ef0d4df,6
01 117 6176,04-04-21 10:00,747.2028104,c57d6a4c-c8e1-4cf7-9feb-9a28f4c0ec0b,6
01 117 6176,25-03-21 17:00,715.3348623,935da347-00d2-4411-9013-e0bbd79e0a35,6
01 117 6176,01-01-21 20:00,706.9178137,13028944-6d76-48e3-b7dd-d12108ca33b4,6
01 117 6176,25-01-21 13:00,1872.096157,2a50d995-9b9a-41e0-9d09-04864540ed3e,6
071 980 4263,17-01-21 19:00,1014.632666,fca26c1d-1b82-49f9-b008-ac0eea2bdcdd,6
071 980 4263,25-03-21 10:00,731.8365324,4df5ae79-ca67-44cb-a88f-56b52afbe725,6
01 285 2072,27-02-21 20:00,652.6129068,dcd9100c-0173-4c7c-b085-bc5f9d3e0092,6
01 285 2072,25-02-21 19:00,1565.335093,8feda4df-e544-497a-872b-72ba9b1808ee,6
01 285 2072,26-03-21 5:00,1049.635188,7339b847-f2d6-41ae-9a1d-43dd0f72e365,6
01 465 2336,11-01-21 11:00,994.0324192,b53a3ee5-9bcd-42c1-8d9b-254c38f9e7fc,6
01 941 3844,24-01-21 20:00,780.3760124,7246bb6b-9a5a-403d-83af-d9206e6dc2ac,6
099 329 2806,05-02-21 8:00,225.8213121,6b414b4b-f93c-49cb-8b31-66d24dfda93e,6
099 329 2806,15-02-21 21:00,952.622013,5058fbce-5420-4003-99e7-11225ec6df37,6
01 554 1756,25-04-21 7:00,764.1674089,4a1f9144-37cd-43c8-a65f-7cf79356b503,6
01 554 1756,27-03-21 20:00,653.175746,65f662eb-8cf5-4eef-9794-ea540f7de6ff,6
